Quest No.,Task No.,Task Description,Source Experience,Choice Rank 1 (Most Acceptable),Choice Rank 2,Choice Rank 3,Choice Rank 4 (Least Acceptable),Privilege Marker (If Applicable)
,,,,,,,,
"Quest 1: Endure a day of necessary but draining bureaucracy in government offices, where your identity is reduced to flawed forms and subject to the uninformed judgment of officials.",,,,,,,,
,1,"You pull on the male conductor's uniform. It fits poorly, erasing your shape. It makes you look ""decent"" and masculine.","Wear the uniform same way every other conductor friend of yours wears.","Carry a small jasmine garland (gazra/malipu) in your pocket instead of directly decorating yourself with it.","Alter your shirt to fit in a little more feminine way, claiming ""it shrank in the wash"" if asked.", N/A
,2,"Before the shift, drivers and conductors gather at a chai stall. They casually tease you about the way you walk.","Laugh it off since it was meant as a joke only.","Drink your chai in silence, ignoring the conversation until the bus is ready.","Leave the group to sit alone on the bus, isolating yourself further.","Jokingly embrace it and comment back ""Hey, I walk with grace"".",
,3,"In between stops, you are tired and lean against the rail near the ladies' seats. A female passenger says, ""This is for ladies, why are you standing so close? Go to the mens side!""","Move instantly to the crowded mens area to avoid making any women uncomfortable.","Defend yourself by saying ""Madam, I am just doing my job, the bus is full.""","Ignore her and stand your ground but turn your back to her","Immediate Pen Attack (CHA): Grab the pen and firmly circle 'O', demanding immediate recognition.",N/A
,4,"During peak hour, the bus is really cramped. You push past people to sit at your assigned seat feeling uncomfortable with how aware you are of your body.","Maneuver your heavy ticket bag to cover yourself like a shield.","Say ""Move inside! Don't crowd the door!"" hoping to make some space for yourself.","Try to endure it until the next stop, but accidentally end up hitting a passenger.","Retreat and Restart (DEX): Pull the application and commit to returning another day when a different official is present.",
,5,"You were late for lunch break and overhear other conductors share food and whispering about how weird you talk and act.","Finish food quickly and return to the safety of the empty bus.","Ignore their comments pretending you don't hear so you don't have to eat alone.","Confront them and ask, ""Do you have a problem with it? How is it affecting you?"".","Staff Change (CHA): Politely state that the official's lack of training is concerning and request to be served by someone else.",
,6,"You complain to your friend about your coworkers . He sighs, ""Look, you are a man. Be tough. If you act soft, people will take advantage. Adjust a little.""","Agree silently, knowing nothing you do will matter.","Try to talk to your deputy manager to change your route to a less crowded one. (Locked path. this path, when hovered on will show the locked path overlays and will not be selectable)","Fake sickness to get a few days off immediately.","The Stare Down (CON): Deliberately look at the reflection, forcing yourself to process the image and move on.",N/A
,7,"After years of this cycle, the emotional and physical toll becomes unbearable. You must decide whether to quit. You have no savings, no degree. Just the knowledge that you cannot step on that bus again.","Resign citing ""severe back pain"" to leave on good terms.","Slowly, don't show up. Just go on your own new path now.","""I cannot work in this environment."" (Manager will likely mock you).","Ask for a transfer you to a less crowded, safer route/time slot or not so public role which you know they won't give.",
,8,"With no higher education, the job search is limited. The few positions available require uncomfortable binary uniforms.","Take the job offered, accepting the compromise for stability.","Try to negotiate a gender neutral uniform or dress code exception.","Refuse all jobs requiring a uniform, narrowing options to almost zero.","Keep looking for a better opportunity.",N/A
